name,state,south,british,german,mobility
Flagstaff,Arizona,False,28.122791,18.01062,8.145091
Cortez,Colorado,False,37.19198,14.414412,12.678062
Gallup,Arizona,False,16.013035,6.8539815,4.1061397
Twin Falls,Idaho,False,41.237736,22.445282,8.711919
Burley,Idaho,False,41.237736,22.445282,11.389236
Boise City,Idaho,False,40.99035,23.725365,7.392042
Ontario,Oregon,False,34.713516,22.252571,8.448416
McCall,Idaho,False,36.859646,22.355265,12.403101
St. George,Utah,False,61.86672,10.05456,10.84833
Price,Utah,False,55.43595,11.108592,13.734393
Moab,Utah,False,52.641003,11.566696,11.797753
Richfield,Utah,False,61.86672,10.05456,12.86031
Loa,Utah,False,61.86672,10.05456,20.967741
Provo,Utah,False,63.7569,13.0702,13.7512
Salt Lake City,Utah,False,56.913387,14.460094,10.832743
Logan,Utah,False,58.775043,13.790014,13.690953
Pocatello,Idaho,False,52.926083,17.382523,9.250867
Salmon,Idaho,False,54.61255,17.158672,15.492958
Jackson,Wyoming,False,39.03192,21.208529,11.392405
Steamboat Springs,Colorado,False,33.040653,25.435442,15.89041
Vernal,Utah,False,52.641003,11.566696,25.33784
Soda Springs,Idaho,False,51.12154,17.62205,17.699116
Rock Springs,Wyoming,False,35.185223,22.076645,20.53942
Klamath Falls,California,False,32.075756,21.667534,8.561759
Burns,Oregon,False,32.757603,22.15898,13.939394
Lakeview,Oregon,False,32.757603,22.15898,10.982658
Redding,California,False,32.18863,23.038948,8.807135
Eureka,California,False,30.53876,19.268402,7.579273
Medford,Oregon,False,36.616444,24.782387,7.196801
Crescent City,California,False,32.800476,21.652632,8.342246
Roseburg,Oregon,False,35.566036,24.245283,8.197788
Modesto,California,False,25.706955,15.978371,9.362827
Bakersfield,California,False,26.501291,15.022868,12.161972
Fresno,California,False,22.372318,14.991972,7.487937
Chico,California,False,33.664356,21.59034,9.48426
Sacramento,California,False,29.000738,20.355335,9.690901
San Jose,California,False,26.271278,17.107271,12.932589
Elko,Nevada,False,32.49211,20.532162,16.029411
Winnemucca,Nevada,False,32.49211,20.532162,16.955017
Portola,California,False,32.418606,21.598555,11.764706
Reno,Nevada,False,33.257587,22.70826,9.103049
Santa Rosa,California,False,30.276373,20.631989,9.95509
San Francisco,California,False,23.36711,15.32346,12.152587
Las Vegas,Nevada,False,27.155828,19.08529,8.002901
Reno,Nevada,False,32.49211,20.532162,10.97561
Mammoth Lakes,California,False,34.341827,21.779902,11.594203
San Diego,California,False,28.08967,19.327904,10.436476
Yuma,California,False,26.746984,16.90444,9.821322
Santa Barbara,California,False,31.11728,19.570007,11.294084
Los Angeles,California,False,22.1258,14.706198,9.60902
Lewiston,Idaho,False,31.166454,29.248676,9.020979
Pullman,Washington,False,31.5754,28.848866,14.236111
Moses Lake,Washington,False,28.135242,29.480766,9.657948
Wenatchee,Washington,False,34.147533,25.777561,9.354605
Spokane,Washington,False,32.334045,29.757303,9.2801485
Colville,Washington,False,30.936605,27.755297,9.752476
Longview,Washington,False,33.079166,23.988253,9.277267
Portland,Oregon,False,33.727806,27.48829,9.305854
The Dalles,Oregon,False,33.17838,25.398165,10.4380245
Eugene,Oregon,False,35.472168,27.704678,7.8895817
Newport,Oregon,False,35.91415,24.372019,7.257448
Yakima,Washington,False,28.931736,22.576658,8.170658
Kennewick,Washington,False,33.767,26.601028,10.58548
La Grande,Oregon,False,31.257841,25.548935,8.767471
Enterprise,Oregon,False,31.257841,25.548935,14.379086
Bend,Oregon,False,33.582905,25.643427,8.172636
Condon,Oregon,False,31.257841,25.548935,10.869565
John Day,Oregon,False,31.257841,25.548935,11.585366
Friday Harbor,Washington,False,34.588924,21.895426,10.169491
Bellingham,Washington,False,31.126574,22.569118,11.557512
Port Angeles,Washington,False,32.892563,23.041323,8.584006
Seattle,Washington,False,32.759995,23.398415,10.855095
